Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 00:00:07.722000,44,2.0,,
0 days 01:02:29.838000,44,2.0,+0.011,+0.011
0 days 01:02:33.589000,44,2.0,+0.116,+0.116
0 days 01:02:36.798000,44,2.0,+0.097,+0.097
0 days 01:02:40.752000,44,2.0,+0.160,+0.160
0 days 01:02:46.423000,44,2.0,+0.212,+0.212
0 days 01:02:50.195000,44,2.0,+0.090,+0.090
0 days 01:02:54.487000,44,1.0,LAP 1,LAP 1
0 days 01:03:00.801000,44,2.0,LAP 1,LAP 1
0 days 01:03:01.232000,44,2.0,+0.317,+0.317
0 days 01:03:06.277000,44,2.0,+0.304,+0.304
0 days 01:03:11.668000,44,2.0,+0.195,+0.195
0 days 01:03:15.459000,44,2.0,+0.007,+0.007
0 days 01:03:20.116000,44,1.0,LAP 1,LAP 1
0 days 01:03:22.738000,44,2.0,LAP 1,LAP 1
0 days 01:03:22.817000,44,2.0,+0.124,+0.124
0 days 01:03:25.407000,44,2.0,+0.248,+0.248
0 days 01:03:29.575000,44,2.0,+0.833,+0.833
0 days 01:03:34.783000,44,2.0,+1.452,+1.452
0 days 01:03:41.583000,44,2.0,+2.190,+2.190
0 days 01:03:49.500000,44,2.0,+3.262,+3.262
0 days 01:03:55.628000,44,2.0,+4.418,+4.418
0 days 01:04:01.856000,44,2.0,+4.827,+4.827
0 days 01:04:12.428000,44,2.0,+6.683,+6.683
0 days 01:04:14.330000,44,2.0,+5.980,+5.980
0 days 01:04:22.765000,44,2.0,+3.319,+3.319
0 days 01:04:28.402000,44,2.0,+2.899,+2.899
0 days 01:04:37.932000,44,2.0,+5.182,+5.182
0 days 01:04:41.708000,44,2.0,+3.683,+3.683
0 days 01:04:45.299000,44,2.0,+2.462,+2.462
0 days 01:04:49.347000,44,2.0,+1.674,+1.674
0 days 01:04:56.837000,44,2.0,+1.439,+1.439
0 days 01:05:03.733000,44,2.0,+1.659,+1.659
0 days 01:05:11.501000,44,2.0,+1.433,+1.433
0 days 01:05:13.757000,44,2.0,+1.479,+1.479
0 days 01:05:20.730000,44,2.0,+1.236,+1.236
0 days 01:05:29.177000,44,2.0,+1.465,+1.465
0 days 01:05:38.037000,44,2.0,+1.144,+1.144
0 days 01:05:46.048000,44,2.0,+1.510,+1.510
0 days 01:05:55.070000,44,2.0,+1.620,+1.620
0 days 01:06:01.283000,44,2.0,+1.725,+1.725
0 days 01:06:06.779000,44,2.0,+2.001,+2.001
0 days 01:06:13.464000,44,2.0,+1.141,+1.141
0 days 01:06:21.881000,44,2.0,+1.031,+1.031
0 days 01:06:27.129000,44,2.0,+1.539,+1.539
0 days 01:06:31.686000,44,2.0,+1.009,+1.009
0 days 01:06:35.736000,44,2.0,+0.836,+0.836
0 days 01:06:42.213000,44,2.0,+1.543,+1.543
0 days 01:06:51.609000,44,2.0,+1.747,+1.747
0 days 01:41:19.219000,44,2.0,+3.047,+3.047
