,Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
0,2021-07-18 15:09:33.272,10856,259,7,100,False,0,car,0 days 00:00:00.100000,0 days 02:08:33.262000
1,2021-07-18 15:09:33.512,10701,262,7,100,False,0,car,0 days 00:00:00.340000,0 days 02:08:33.502000
2,2021-07-18 15:09:33.752,10955,267,7,100,False,0,car,0 days 00:00:00.580000,0 days 02:08:33.742000
3,2021-07-18 15:09:33.992,11061,271,7,100,False,0,car,0 days 00:00:00.820000,0 days 02:08:33.982000
4,2021-07-18 15:09:34.193,11202,272,7,100,False,0,car,0 days 00:00:01.021000,0 days 02:08:34.183000
5,2021-07-18 15:09:34.433,11202,275,7,100,False,0,car,0 days 00:00:01.261000,0 days 02:08:34.423000
6,2021-07-18 15:09:34.673,11477,281,7,100,False,0,car,0 days 00:00:01.501000,0 days 02:08:34.663000
7,2021-07-18 15:09:34.913,11555,282,7,100,False,0,car,0 days 00:00:01.741000,0 days 02:08:34.903000
8,2021-07-18 15:09:35.153,11555,285,7,100,False,0,car,0 days 00:00:01.981000,0 days 02:08:35.143000
9,2021-07-18 15:09:35.393,11735,289,7,100,False,0,car,0 days 00:00:02.221000,0 days 02:08:35.383000
10,2021-07-18 15:09:35.633,11833,292,7,100,False,0,car,0 days 00:00:02.461000,0 days 02:08:35.623000
11,2021-07-18 15:09:35.873,11536,294,7,100,False,0,car,0 days 00:00:02.701000,0 days 02:08:35.863000
12,2021-07-18 15:09:36.113,10740,296,8,100,False,0,car,0 days 00:00:02.941000,0 days 02:08:36.103000
13,2021-07-18 15:09:36.353,10747,298,8,100,False,0,car,0 days 00:00:03.181000,0 days 02:08:36.343000
14,2021-07-18 15:09:36.593,10765,300,8,100,False,0,car,0 days 00:00:03.421000,0 days 02:08:36.583000
15,2021-07-18 15:09:36.833,10798,302,8,100,False,0,car,0 days 00:00:03.661000,0 days 02:08:36.823000
16,2021-07-18 15:09:37.073,10880,303,8,97,False,0,car,0 days 00:00:03.901000,0 days 02:08:37.063000
17,2021-07-18 15:09:37.313,10929,304,8,94,False,0,car,0 days 00:00:04.141000,0 days 02:08:37.303000
18,2021-07-18 15:09:37.553,10834,304,8,80,False,0,car,0 days 00:00:04.381000,0 days 02:08:37.543000
19,2021-07-18 15:09:37.793,10613,298,8,44,False,0,car,0 days 00:00:04.621000,0 days 02:08:37.783000
20,2021-07-18 15:09:38.033,10405,290,8,39,False,0,car,0 days 00:00:04.861000,0 days 02:08:38.023000
21,2021-07-18 15:09:38.273,10283,290,8,67,False,0,car,0 days 00:00:05.101000,0 days 02:08:38.263000
22,2021-07-18 15:09:38.513,10194,284,8,77,False,0,car,0 days 00:00:05.341000,0 days 02:08:38.503000
