,Date,Status,X,Y,Z,Source,Time,SessionTime
0,2021-07-18 15:09:33.324,OnTrack,-1656,1341,1964,pos,0 days 00:00:00.152000,0 days 02:08:33.314000
1,2021-07-18 15:09:33.544,OnTrack,-1558,1467,1965,pos,0 days 00:00:00.372000,0 days 02:08:33.534000
2,2021-07-18 15:09:33.764,OnTrack,-1456,1592,1966,pos,0 days 00:00:00.592000,0 days 02:08:33.754000
3,2021-07-18 15:09:33.984,OnTrack,-1355,1721,1968,pos,0 days 00:00:00.812000,0 days 02:08:33.974000
4,2021-07-18 15:09:34.204,OnTrack,-1257,1855,1969,pos,0 days 00:00:01.032000,0 days 02:08:34.194000
5,2021-07-18 15:09:34.424,OnTrack,-1158,1991,1971,pos,0 days 00:00:01.252000,0 days 02:08:34.414000
6,2021-07-18 15:09:34.644,OnTrack,-1058,2129,1973,pos,0 days 00:00:01.472000,0 days 02:08:34.634000
7,2021-07-18 15:09:34.864,OnTrack,-957,2268,1975,pos,0 days 00:00:01.692000,0 days 02:08:34.854000
8,2021-07-18 15:09:35.084,OnTrack,-855,2408,1977,pos,0 days 00:00:01.912000,0 days 02:08:35.074000
9,2021-07-18 15:09:35.304,OnTrack,-752,2550,1979,pos,0 days 00:00:02.132000,0 days 02:08:35.294000
10,2021-07-18 15:09:35.524,OnTrack,-650,2693,1982,pos,0 days 00:00:02.352000,0 days 02:08:35.514000
11,2021-07-18 15:09:35.743,OnTrack,-547,2839,1984,pos,0 days 00:00:02.571000,0 days 02:08:35.733000
12,2021-07-18 15:09:35.963,OnTrack,-447,2988,1987,pos,0 days 00:00:02.791000,0 days 02:08:35.953000
13,2021-07-18 15:09:36.183,OnTrack,-347,3138,1989,pos,0 days 00:00:03.011000,0 days 02:08:36.173000
14,2021-07-18 15:09:36.403,OnTrack,-247,3290,1992,pos,0 days 00:00:03.231000,0 days 02:08:36.393000
15,2021-07-18 15:09:36.604,OnTrack,-154,3428,1994,pos,0 days 00:00:03.432000,0 days 02:08:36.594000
16,2021-07-18 15:09:36.824,OnTrack,-48,3577,1996,pos,0 days 00:00:03.652000,0 days 02:08:36.814000
17,2021-07-18 15:09:37.044,OnTrack,61,3725,1999,pos,0 days 00:00:03.872000,0 days 02:08:37.034000
18,2021-07-18 15:09:37.264,OnTrack,176,3870,2003,pos,0 days 00:00:04.092000,0 days 02:08:37.254000
19,2021-07-18 15:09:37.484,OnTrack,298,4010,2007,pos,0 days 00:00:04.312000,0 days 02:08:37.474000
20,2021-07-18 15:09:37.704,OnTrack,444,4160,2010,pos,0 days 00:00:04.532000,0 days 02:08:37.694000
21,2021-07-18 15:09:37.924,OnTrack,581,4274,2011,pos,0 days 00:00:04.752000,0 days 02:08:37.914000
22,2021-07-18 15:09:38.144,OnTrack,728,4367,2013,pos,0 days 00:00:04.972000,0 days 02:08:38.134000
23,2021-07-18 15:09:38.364,OnTrack,886,4437,2014,pos,0 days 00:00:05.192000,0 days 02:08:38.354000
24,2021-07-18 15:09:38.584,OnTrack,1054,4486,2015,pos,0 days 00:00:05.412000,0 days 02:08:38.574000
25,2021-07-18 15:09:38.804,OnTrack,1227,4512,2016,pos,0 days 00:00:05.632000,0 days 02:08:38.794000
26,2021-07-18 15:09:39.024,OnTrack,1401,4522,2018,pos,0 days 00:00:05.852000,0 days 02:08:39.014000
27,2021-07-18 15:09:39.244,OnTrack,1574,4520,2020,pos,0 days 00:00:06.072000,0 days 02:08:39.234000
28,2021-07-18 15:09:39.464,OnTrack,1746,4508,2023,pos,0 days 00:00:06.292000,0 days 02:08:39.454000
29,2021-07-18 15:09:39.684,OnTrack,1918,4486,2025,pos,0 days 00:00:06.512000,0 days 02:08:39.674000
30,2021-07-18 15:09:39.904,OnTrack,2090,4461,2026,pos,0 days 00:00:06.732000,0 days 02:08:39.894000
31,2021-07-18 15:09:40.124,OnTrack,2262,4444,2028,pos,0 days 00:00:06.952000,0 days 02:08:40.114000
32,2021-07-18 15:09:40.344,OnTrack,2436,4436,2029,pos,0 days 00:00:07.172000,0 days 02:08:40.334000
33,2021-07-18 15:09:40.564,OnTrack,2613,4441,2032,pos,0 days 00:00:07.392000,0 days 02:08:40.554000
34,2021-07-18 15:09:40.784,OnTrack,2784,4460,2035,pos,0 days 00:00:07.612000,0 days 02:08:40.774000
35,2021-07-18 15:09:41.004,OnTrack,2957,4502,2037,pos,0 days 00:00:07.832000,0 days 02:08:40.994000
36,2021-07-18 15:09:41.224,OnTrack,3124,4561,2040,pos,0 days 00:00:08.052000,0 days 02:08:41.214000
37,2021-07-18 15:09:41.444,OnTrack,3282,4638,2043,pos,0 days 00:00:08.272000,0 days 02:08:41.434000
38,2021-07-18 15:09:41.664,OnTrack,3432,4732,2046,pos,0 days 00:00:08.492000,0 days 02:08:41.654000
39,2021-07-18 15:09:41.884,OnTrack,3574,4840,2048,pos,0 days 00:00:08.712000,0 days 02:08:41.874000
40,2021-07-18 15:09:42.104,OnTrack,3706,4958,2049,pos,0 days 00:00:08.932000,0 days 02:08:42.094000
41,2021-07-18 15:09:42.324,OnTrack,3832,5084,2050,pos,0 days 00:00:09.152000,0 days 02:08:42.314000
42,2021-07-18 15:09:42.543,OnTrack,3957,5211,2050,pos,0 days 00:00:09.371000,0 days 02:08:42.533000
43,2021-07-18 15:09:42.763,OnTrack,4079,5331,2051,pos,0 days 00:00:09.591000,0 days 02:08:42.753000
44,2021-07-18 15:09:42.983,OnTrack,4196,5441,2052,pos,0 days 00:00:09.811000,0 days 02:08:42.973000
45,2021-07-18 15:09:43.184,OnTrack,4297,5531,2053,pos,0 days 00:00:10.012000,0 days 02:08:43.174000
46,2021-07-18 15:09:43.404,OnTrack,4396,5616,2054,pos,0 days 00:00:10.232000,0 days 02:08:43.394000
47,2021-07-18 15:09:43.624,OnTrack,4487,5692,2054,pos,0 days 00:00:10.452000,0 days 02:08:43.614000
48,2021-07-18 15:09:43.844,OnTrack,4571,5760,2055,pos,0 days 00:00:10.672000,0 days 02:08:43.834000
49,2021-07-18 15:09:44.064,OnTrack,4633,5807,2055,pos,0 days 00:00:10.892000,0 days 02:08:44.054000
50,2021-07-18 15:09:44.284,OnTrack,4708,5855,2055,pos,0 days 00:00:11.112000,0 days 02:08:44.274000
