LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
,3,,0,0.0,MEDIUM,True,True,0 days 00:56:13.003000,0.0,,0.0,
,4,,0,0.0,MEDIUM,True,True,0 days 00:56:13.003000,0.0,,0.0,
,5,,0,3.0,MEDIUM,False,True,0 days 00:56:13.003000,0.0,,3.0,
,6,,0,0.0,MEDIUM,True,True,0 days 00:56:13.003000,0.0,,0.0,
,7,,0,0.0,MEDIUM,True,True,0 days 00:56:13.003000,0.0,,0.0,
,9,,0,3.0,MEDIUM,False,True,0 days 00:56:13.003000,0.0,,3.0,
,10,,0,0.0,MEDIUM,True,True,0 days 00:56:13.003000,0.0,,0.0,
,11,,0,0.0,HARD,True,True,0 days 00:56:13.003000,0.0,,0.0,
,14,,0,0.0,MEDIUM,True,True,0 days 00:56:13.003000,0.0,,0.0,
,16,,0,0.0,MEDIUM,True,True,0 days 00:56:13.003000,0.0,,0.0,
,18,,0,3.0,MEDIUM,False,True,0 days 00:56:13.003000,0.0,,3.0,
,22,,0,0.0,MEDIUM,True,True,0 days 00:56:13.003000,0.0,,0.0,
,31,,0,0.0,MEDIUM,True,True,0 days 00:56:13.003000,0.0,,0.0,
,33,,0,0.0,MEDIUM,True,True,0 days 00:56:13.003000,0.0,,0.0,
,47,,0,3.0,MEDIUM,False,True,0 days 00:56:13.003000,0.0,,3.0,
,55,,0,0.0,MEDIUM,True,True,0 days 00:56:13.003000,0.0,,0.0,
,63,,0,0.0,MEDIUM,True,True,0 days 00:56:13.003000,0.0,,0.0,
,77,,0,1.0,MEDIUM,False,True,0 days 00:56:13.003000,0.0,,1.0,
,99,,0,0.0,MEDIUM,True,True,0 days 00:56:13.003000,0.0,,0.0,
,44,,0,1.0,MEDIUM,False,True,0 days 00:56:18.013000,0.0,,1.0,
,16,,0,1.0,,False,False,0 days 01:04:28.042000,,,,
,3,,0,1.0,,False,False,0 days 01:04:33.041000,,,,
,4,,0,1.0,,False,False,0 days 01:04:33.041000,,,,
,44,,0,2.0,,False,False,0 days 01:04:33.041000,,,,
,77,,0,2.0,,False,False,0 days 01:04:33.041000,,,,
,5,,0,4.0,,False,False,0 days 01:04:38.044000,,,,
,14,,0,1.0,,False,False,0 days 01:04:38.044000,,,,
,55,,0,1.0,,False,False,0 days 01:04:38.044000,,,,
,7,,0,1.0,,False,False,0 days 01:04:43.042000,,,,
,10,,0,1.0,,False,False,0 days 01:04:43.042000,,,,
,18,,0,4.0,,False,False,0 days 01:04:43.042000,,,,
,31,,0,1.0,,False,False,0 days 01:04:43.042000,,,,
,22,,0,1.0,,False,False,0 days 01:04:48.054000,,,,
,63,,0,1.0,,False,False,0 days 01:04:48.054000,,,,
,99,,0,1.0,,False,False,0 days 01:04:48.054000,,,,
,6,,0,1.0,,False,False,0 days 01:04:53.038000,,,,
,9,,0,4.0,,False,False,0 days 01:04:53.038000,,,,
,11,,0,1.0,,False,False,0 days 01:04:53.038000,,,,
,47,,0,4.0,,False,False,0 days 01:04:53.038000,,,,
,16,,0,2.0,,False,False,0 days 01:07:08.044000,,,,
,44,,0,3.0,,False,False,0 days 01:07:08.044000,,,,
2.0,16,0 days 00:02:39.045000,0,,,False,False,0 days 01:07:08.575000,,,,
2.0,44,0 days 00:02:38.142000,0,,,False,False,0 days 01:07:08.575000,,,,
,4,,0,2.0,,False,False,0 days 01:07:13.048000,,,,
,77,,0,3.0,,False,False,0 days 01:07:13.048000,,,,
2.0,4,0 days 00:02:38.631000,0,,,False,False,0 days 01:07:13.193000,,,,
2.0,77,0 days 00:02:39.641000,0,,,False,False,0 days 01:07:13.193000,,,,
,3,,0,2.0,,False,False,0 days 01:07:18.044000,,,,
,5,,0,5.0,,False,False,0 days 01:07:18.044000,,,,
