Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2020-08-02 13:13:22.765,0 days 00:33:22.751000,,0.06694444444444445,0 days 00:00:00,0,0,0,104,True,1,interpolation,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:22.881,0 days 00:33:22.867000,,0.06694444444444445,0 days 00:00:00.116000,0,0,0,104,True,1,car,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:22.936,0 days 00:33:22.922000,,0.06694444444444445,0 days 00:00:00.171000,0,0,0,104,True,1,pos,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:23.122,0 days 00:33:23.108000,10,0.06694444444444445,0 days 00:00:00.357000,0,0,0,104,True,1,car,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:23.156,0 days 00:33:23.142000,10,0.2668055555555555,0 days 00:00:00.391000,0,0,0,104,True,1,pos,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:23.362,0 days 00:33:23.348000,6,0.4666666666666666,0 days 00:00:00.597000,0,0,0,104,True,1,car,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:23.376,0 days 00:33:23.362000,6,0.7777777777777777,0 days 00:00:00.611000,0,0,0,104,True,1,pos,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:23.596,0 days 00:33:23.582000,6,1.0888888888888888,0 days 00:00:00.831000,0,0,0,104,True,1,pos,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:23.602,0 days 00:33:23.588000,8,1.4,0 days 00:00:00.837000,0,0,0,104,True,1,car,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:23.816,0 days 00:33:23.802000,8,2.0666666666666664,0 days 00:00:01.051000,0,0,0,104,True,1,pos,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:23.842,0 days 00:33:23.828000,26,2.7333333333333334,0 days 00:00:01.077000,0,0,0,104,True,1,car,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:24.016,0 days 00:33:24.002000,26,3.8000000000000003,0 days 00:00:01.251000,0,0,0,104,True,1,pos,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:24.082,0 days 00:33:24.068000,26,4.866666666666667,0 days 00:00:01.317000,0,0,0,104,True,1,car,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:24.236,0 days 00:33:24.222000,26,6.333333333333334,0 days 00:00:01.471000,0,0,0,104,True,1,pos,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:24.322,0 days 00:33:24.308000,26,7.800000000000001,0 days 00:00:01.557000,0,0,0,104,True,1,car,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:24.456,0 days 00:33:24.442000,26,9.533333333333335,0 days 00:00:01.691000,0,0,0,104,True,1,pos,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:24.562,0 days 00:33:24.548000,26,11.266666666666667,0 days 00:00:01.797000,0,0,0,104,True,1,car,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:24.676,0 days 00:33:24.662000,26,13.333333333333334,0 days 00:00:01.911000,0,0,0,104,True,1,pos,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:24.802,0 days 00:33:24.788000,26,15.4,0 days 00:00:02.037000,0,0,0,104,True,1,car,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:24.896,0 days 00:33:24.882000,26,17.733333333333334,0 days 00:00:02.131000,0,0,0,104,True,1,pos,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:25.042,0 days 00:33:25.028000,26,20.06666666666667,0 days 00:00:02.277000,0,0,0,104,True,1,car,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:25.116,0 days 00:33:25.102000,26,22.666666666666668,0 days 00:00:02.351000,0,0,0,104,True,1,pos,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:25.282,0 days 00:33:25.268000,26,25.266666666666666,0 days 00:00:02.517000,0,0,0,104,True,1,car,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:25.336,0 days 00:33:25.322000,26,27.522222222222222,0 days 00:00:02.571000,0,0,0,104,True,1,pos,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:25.556,0 days 00:33:25.542000,26,29.777777777777782,0 days 00:00:02.791000,0,0,0,104,True,1,pos,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:25.562,0 days 00:33:25.548000,26,32.03333333333334,0 days 00:00:02.797000,0,0,0,104,True,1,car,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:25.776,0 days 00:33:25.762000,26,35.53333333333333,0 days 00:00:03.011000,0,0,0,104,True,1,pos,0.0,,OnTrack,0.0,0.0,0.0
2020-08-02 13:13:25.802,0 days 00:33:25.788000,26,39.03333333333333,0 days 00:00:03.037000,0,0,0,104,True,1,car,0.0,,OnTrack,0.0,0.0,0.0
