Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:15:26.957000,VER,1,,1.0,1.0,0 days 00:13:37.696000,,,0 days 00:00:43.008000,0 days 00:00:32.225000,,0 days 00:14:54.901000,0 days 00:15:26.957000,279.0,232.0,210.0,256.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:13:37.696000,2024-07-06 14:00:50.705,1,,False,,False,False
0 days 00:17:04.475000,VER,1,0 days 00:01:37.518000,2.0,1.0,,,0 days 00:00:31.362000,0 days 00:00:39.005000,0 days 00:00:27.151000,0 days 00:15:58.319000,0 days 00:16:37.324000,0 days 00:17:04.475000,289.0,243.0,221.0,296.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 00:15:26.957000,2024-07-06 14:02:39.966,1,,False,,False,True
0 days 00:19:12.441000,VER,1,0 days 00:02:07.966000,3.0,1.0,,,0 days 00:00:38.475000,0 days 00:00:54.234000,0 days 00:00:35.257000,0 days 00:17:42.950000,0 days 00:18:37.184000,0 days 00:19:12.441000,259.0,215.0,240.0,112.0,False,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 00:17:04.475000,2024-07-06 14:04:17.484,1,,False,,False,True
0 days 00:20:49.861000,VER,1,0 days 00:01:37.420000,4.0,1.0,,,0 days 00:00:30.778000,0 days 00:00:39.251000,0 days 00:00:27.391000,0 days 00:19:43.219000,0 days 00:20:22.470000,0 days 00:20:49.861000,291.0,245.0,222.0,295.0,True,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 00:19:12.441000,2024-07-06 14:06:25.450,1,,False,,False,True
0 days 00:22:34.084000,VER,1,0 days 00:01:44.223000,5.0,1.0,,0 days 00:22:27.490000,0 days 00:00:33.331000,0 days 00:00:42.340000,0 days 00:00:28.552000,0 days 00:21:23.192000,0 days 00:22:05.532000,0 days 00:22:34.084000,265.0,229.0,,275.0,False,INTERMEDIATE,5.0,True,Red Bull Racing,0 days 00:20:49.861000,2024-07-06 14:08:02.870,1,,False,,False,False
0 days 00:35:00.044000,VER,1,,6.0,2.0,0 days 00:33:17.106000,,,0 days 00:00:38.222000,0 days 00:00:26.815000,,0 days 00:34:33.314000,0 days 00:35:00.266000,275.0,239.0,241.0,276.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:33:17.106000,2024-07-06 14:20:30.115,1,,False,,False,False
0 days 00:36:49.968000,VER,1,0 days 00:01:49.924000,7.0,2.0,,,0 days 00:00:28.859000,0 days 00:00:46.887000,0 days 00:00:34.178000,0 days 00:35:28.903000,0 days 00:36:15.790000,0 days 00:36:49.968000,291.0,227.0,238.0,275.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:35:00.044000,2024-07-06 14:22:13.053,1,,True,TRACK LIMITS AT TURN 9 LAP 8 ,False,True
0 days 00:38:21.800000,VER,1,0 days 00:01:31.832000,8.0,2.0,,,0 days 00:00:29.197000,0 days 00:00:36.987000,0 days 00:00:25.648000,0 days 00:37:19.165000,0 days 00:37:56.152000,0 days 00:38:21.800000,292.0,256.0,236.0,301.0,True,SOFT,3.0,True,Red Bull Racing,0 days 00:36:49.968000,2024-07-06 14:24:02.977,1,,False,,False,True
0 days 00:39:53.142000,VER,1,0 days 00:01:31.342000,9.0,2.0,,,0 days 00:00:29.053000,0 days 00:00:36.706000,0 days 00:00:25.583000,0 days 00:38:50.853000,0 days 00:39:27.559000,0 days 00:39:53.142000,294.0,259.0,203.0,300.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:38:21.800000,2024-07-06 14:25:34.809,1,,False,,False,True
0 days 00:41:41.606000,VER,1,0 days 00:01:48.464000,10.0,2.0,,0 days 00:41:35.613000,0 days 00:00:34.812000,0 days 00:00:43.770000,0 days 00:00:29.882000,0 days 00:40:27.954000,0 days 00:41:11.724000,0 days 00:41:41.606000,254.0,228.0,,262.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:39:53.142000,2024-07-06 14:27:06.151,1,,False,,False,False
